episode,steps,return,success,target,start_bin,delivered_bin,designer_bonus,intervention_kind,interventions_total,wallclock_s,global_step
214,1,-0.195,0,B,17,16,0.0,stuck,108,1319.3,34025
215,300,-56.67,0,B,16,16,0.0,,108,1332.2,34325
216,1,-0.22,0,B,16,1,0.0,stuck,109,1332.3,34326
217,300,-47.126,0,B,1,1,0.0,,109,1345.3,34626
218,1,-0.187,0,B,1,17,0.0,stuck,110,1345.4,34627
219,300,-47.757,0,B,17,17,0.0,,110,1358.5,34927
220,1,-0.165,0,B,17,17,0.0,stuck,111,1358.6,34928
221,300,-48.323,0,B,17,17,0.0,,111,1371.9,35228
222,1,-0.178,0,B,17,8,0.0,stuck,112,1372.0,35229
223,300,-53.599,0,B,8,8,0.0,,112,1385.1,35529
224,1,-0.211,0,B,8,17,0.0,stuck,113,1385.1,35530
225,300,-55.41,0,B,17,17,0.0,,113,1398.4,35830
226,1,-0.175,0,B,17,17,0.0,stuck,114,1398.4,35831
227,300,-60.111,0,B,17,17,0.0,,114,1411.7,36131
228,1,-0.201,0,B,17,16,0.0,stuck,115,1411.8,36132
229,300,-65.067,0,B,16,16,0.0,,115,1424.8,36432
230,1,-0.217,0,B,16,9,0.0,stuck,116,1424.8,36433
231,300,-53.479,0,B,9,9,0.0,,116,1437.9,36733
232,1,-0.182,0,B,9,9,0.0,stuck,117,1438.0,36734
233,300,-56.337,0,B,9,9,0.0,,117,1451.5,37034
234,1,-0.196,0,B,9,9,0.0,stuck,118,1451.6,37035
235,300,-54.121,0,B,9,2,0.0,,118,1467.1,37335
236,300,-41.217,0,B,2,2,0.0,,118,1481.2,37635
237,199,-28.931,0,B,2,9,0.0,stuck,119,1490.1,37834
238,300,-60.889,0,B,9,10,0.0,,119,1503.7,38134
239,153,-23.764,0,B,10,9,0.0,escape,120,1510.5,38287
240,300,-48.95,0,B,9,9,0.0,,120,1523.5,38587
241,1,-0.172,0,B,9,16,0.0,stuck,121,1523.6,38588
242,300,-61.746,0,B,16,16,0.0,,121,1536.7,38888
243,1,-0.219,0,B,16,8,0.0,stuck,122,1536.8,38889
244,300,-58.594,0,B,8,8,0.0,,122,1549.9,39189
245,1,-0.214,0,B,8,9,0.0,stuck,123,1550.0,39190
246,300,-54.471,0,B,9,9,0.0,,123,1562.9,39490
