episode,steps,return,success,target,interventions_total,wallclock_s,global_step
412,300,-54.746,0,A,0,2314.3,110055
413,44,4.193,1,B,0,2315.3,110099
414,300,-41.748,0,A,0,2321.9,110399
415,300,-60.263,0,B,0,2328.6,110699
416,300,-51.808,0,A,0,2335.8,110999
417,169,-8.109,1,B,0,2340.1,111168
418,300,-41.318,0,A,0,2347.1,111468
419,300,-28.187,0,B,0,2353.8,111768
420,300,-46.906,0,A,0,2360.5,112068
421,28,5.829,1,B,0,2361.1,112096
422,300,-33.509,0,A,0,2367.8,112396
423,300,-39.139,0,B,0,2374.3,112696
424,300,-61.284,0,A,0,2381.0,112996
425,210,-13.857,1,B,0,2385.7,113206
426,300,-54.725,0,A,0,2392.3,113506
427,82,0.648,1,B,0,2394.4,113588
428,300,-74.264,0,A,0,2401.7,113888
429,113,-2.54,1,B,0,2404.2,114001
430,300,-37.31,0,A,0,2410.8,114301
431,256,-11.269,1,B,0,2416.5,114557
432,40,3.369,1,A,0,2417.4,114597
433,48,4.1,1,B,0,2418.5,114645
434,300,-25.789,0,A,0,2425.1,114945
435,36,5.07,1,B,0,2426.0,114981
436,300,-54.311,0,A,0,2432.5,115281
437,300,-27.96,0,B,0,2439.1,115581
438,40,4.156,1,A,0,2440.0,115621
439,37,5.02,1,B,0,2440.8,115658
440,45,3.533,1,A,0,2441.7,115703
441,31,5.344,1,B,0,2442.4,115734
442,300,-47.567,0,A,0,2450.1,116034
443,300,-31.373,0,B,0,2457.1,116334
444,300,-46.272,0,A,0,2464.1,116634
445,28,6.159,1,B,0,2464.7,116662
446,189,-17.635,1,A,0,2468.8,116851
447,300,-47.8,0,B,0,2475.6,117151
448,293,-31.129,1,A,0,2482.0,117444
449,33,5.016,1,B,0,2482.7,117477
450,45,3.126,1,A,0,2483.7,117522
451,300,-65.27,0,B,0,2490.3,117822
452,44,3.494,1,A,0,2491.3,117866
453,300,-47.453,0,B,0,2498.0,118166
454,300,-44.957,0,A,0,2504.6,118466
455,300,-28.836,0,B,0,2511.3,118766
456,300,-46.679,0,A,0,2518.8,119066
457,300,-46.039,0,B,0,2525.7,119366
458,178,-9.301,1,A,0,2529.6,119544
459,287,-25.624,1,B,0,2536.1,119831
460,227,-21.076,1,A,0,2541.1,120058
461,82,2.622,1,B,0,2543.0,120140
462,218,-18.824,1,A,0,2547.8,120358
463,289,-15.61,1,B,0,2554.4,120647
464,300,-47.107,0,A,0,2561.2,120947
465,300,-45.497,0,B,0,2567.9,121247
466,300,-36.935,0,A,0,2574.6,121547
467,300,-52.646,0,B,0,2582.0,121847
468,186,-18.048,1,A,0,2586.1,122033
469,49,3.812,1,B,0,2587.2,122082
470,39,4.707,1,A,0,2588.1,122121
471,24,6.587,1,B,0,2588.6,122145
472,53,1.342,1,A,0,2589.8,122198
473,300,-33.079,0,B,0,2596.9,122498
474,41,4.209,1,A,0,2597.8,122539
475,54,4.064,1,B,0,2599.0,122593
476,70,-2.415,1,A,0,2600.5,122663
477,300,-51.141,0,B,0,2607.2,122963
478,300,-40.699,0,A,0,2613.8,123263
479,300,-30.669,0,B,0,2620.4,123563
480,39,4.909,1,A,0,2621.3,123602
481,300,-60.114,0,B,0,2628.0,123902
482,87,-2.114,1,A,0,2629.9,123989
483,300,-61.104,0,B,0,2636.8,124289
484,137,-10.095,1,A,0,2640.1,124426
485,25,6.722,1,B,0,2640.7,124451
486,300,-42.452,0,A,0,2647.4,124751
487,300,-42.407,0,B,0,2672.0,125051
488,35,4.864,1,A,0,2672.7,125086
489,300,-64.332,0,B,0,2679.4,125386
490,40,4.706,1,A,0,2680.2,125426
491,42,4.845,1,B,0,2681.2,125468
492,45,2.389,1,A,0,2682.2,125513
493,26,6.44,1,B,0,2682.8,125539
494,300,-33.144,0,A,0,2689.4,125839
495,27,6.422,1,B,0,2690.0,125866
496,38,4.41,1,A,0,2690.9,125904
497,300,-32.913,0,B,0,2698.4,126204
498,300,-50.44,0,A,0,2705.3,126504
499,300,-34.31,0,B,0,2712.0,126804
500,48,3.607,1,A,0,2713.1,126852
501,300,-28.492,0,B,0,2719.8,127152
502,36,4.903,1,A,0,2720.6,127188
503,300,-32.988,0,B,0,2727.2,127488
504,46,3.748,1,A,0,2728.2,127534
505,300,-32.509,0,B,0,2734.8,127834
506,300,-33.983,0,A,0,2741.3,128134
507,300,-44.973,0,B,0,2747.9,128434
508,50,3.677,1,A,0,2749.1,128484
509,56,3.762,1,B,0,2750.3,128540
510,300,-37.388,0,A,0,2757.3,128840
511,65,2.663,1,B,0,2758.9,128905
512,300,-30.912,0,A,0,2765.7,129205
513,300,-55.947,0,B,0,2772.4,129505
514,300,-66.13,0,A,0,2779.0,129805
515,300,-51.059,0,B,0,2785.7,130105
516,300,-23.49,0,A,0,2792.3,130405
517,300,-62.499,0,B,0,2799.0,130705
518,39,3.889,1,A,0,2799.8,130744
519,300,-37.274,0,B,0,2806.5,131044
520,300,-30.139,0,A,0,2813.1,131344
521,25,6.687,1,B,0,2813.7,131369
522,300,-33.674,0,A,0,2821.5,131669
523,26,6.075,1,B,0,2822.1,131695
524,38,5.004,1,A,0,2823.0,131733
525,300,-59.153,0,B,0,2829.8,132033
526,300,-29.678,0,A,0,2836.4,132333
527,30,5.855,1,B,0,2837.1,132363
528,300,-35.476,0,A,0,2843.8,132663
529,30,6.071,1,B,0,2844.5,132693
530,40,4.487,1,A,0,2845.4,132733
531,300,-70.192,0,B,0,2852.0,133033
532,45,3.357,1,A,0,2853.0,133078
533,34,5.852,1,B,0,2853.7,133112
534,33,5.267,1,A,0,2854.5,133145
535,193,-23.354,1,B,0,2858.8,133338
536,300,-41.327,0,A,0,2865.3,133638
537,300,-65.899,0,B,0,2871.9,133938
538,300,-31.105,0,A,0,2879.0,134238
539,75,-0.084,1,B,0,2881.1,134313
540,204,-22.462,1,A,0,2886.1,134517
541,300,-28.487,0,B,0,2892.7,134817
542,300,-39.349,0,A,0,2899.7,135117
543,195,-13.871,1,B,0,2904.1,135312
544,300,-25.119,0,A,0,2910.7,135612
545,49,3.553,1,B,0,2911.8,135661
546,300,-35.319,0,A,0,2918.6,135961
547,134,-5.727,1,B,0,2921.9,136095
548,34,4.949,1,A,0,2922.7,136129
549,30,6.158,1,B,0,2923.4,136159
550,300,-22.624,0,A,0,2930.2,136459
551,140,-10.661,1,B,0,2933.3,136599
552,300,-29.862,0,A,0,2941.1,136899
553,100,-7.409,1,B,0,2943.4,136999
554,300,-28.122,0,A,0,2950.2,137299
555,300,-24.766,0,B,0,2956.8,137599
556,37,4.793,1,A,0,2957.5,137636
557,43,3.298,1,B,0,2958.5,137679
558,36,4.318,1,A,0,2959.3,137715
559,300,-45.452,0,B,0,2966.0,138015
560,108,-4.756,1,A,0,2968.4,138123
561,111,-7.113,1,B,0,2970.8,138234
562,300,-30.217,0,A,0,2977.4,138534
563,58,0.062,1,B,0,2978.7,138592
564,36,5.011,1,A,0,2979.5,138628
565,123,-3.681,1,B,0,2982.3,138751
566,34,5.312,1,A,0,2983.0,138785
567,239,-25.587,1,B,0,2988.4,139024
568,226,-29.922,1,A,0,2993.4,139250
569,48,4.93,1,B,0,2994.5,139298
570,120,-8.83,1,A,0,2997.7,139418
571,44,5.027,1,B,0,2999.1,139462
572,300,-42.867,0,A,0,3006.1,139762
573,43,3.252,1,B,0,3007.0,139805
574,149,-8.119,1,A,0,3010.3,139954
575,48,4.148,1,B,0,3011.4,140002
576,70,0.407,1,A,0,3012.9,140072
577,48,3.999,1,B,0,3014.0,140120
